model,depth,n,n_correct,accuracy,ci_low,ci_high
haiku,1,30,30,1.0,0.8864866068260312,0.9999999999999999
haiku,2,30,20,0.6666666666666666,0.4878005164454384,0.8076950191632386
haiku,3,30,7,0.23333333333333334,0.11792388144489496,0.40928326158122164
haiku,4,30,2,0.06666666666666667,0.018477023791270378,0.2132345836261692
haiku,5,30,6,0.2,0.0950510717728987,0.3730569641314825
haiku,6,30,6,0.2,0.0950510717728987,0.3730569641314825
haiku,7,30,5,0.16666666666666666,0.0733654237184855,0.3356435050641603
haiku,8,30,5,0.16666666666666666,0.0733654237184855,0.3356435050641603
haiku,9,30,3,0.1,0.03459988874733419,0.25621082579184085
haiku,10,30,4,0.13333333333333333,0.053096554840547455,0.296813266820363
haiku,11,30,6,0.2,0.0950510717728987,0.3730569641314825
haiku,12,30,17,0.5666666666666667,0.3919730700081361,0.7262251442353347
sonnet,1,30,30,1.0,0.8864866068260312,0.9999999999999999
sonnet,2,30,30,1.0,0.8864866068260312,0.9999999999999999
sonnet,3,30,30,1.0,0.8864866068260312,0.9999999999999999
sonnet,4,30,30,1.0,0.8864866068260312,0.9999999999999999
sonnet,5,30,29,0.9666666666666667,0.8332960900859082,0.9940914096183874
sonnet,6,30,30,1.0,0.8864866068260312,0.9999999999999999
sonnet,7,30,30,1.0,0.8864866068260312,0.9999999999999999
sonnet,8,30,29,0.9666666666666667,0.8332960900859082,0.9940914096183874
sonnet,9,30,29,0.9666666666666667,0.8332960900859082,0.9940914096183874
sonnet,10,30,30,1.0,0.8864866068260312,0.9999999999999999
sonnet,11,30,30,1.0,0.8864866068260312,0.9999999999999999
sonnet,12,30,28,0.9333333333333333,0.7867654163738308,0.9815229762087295
gpt4o-mini,1,30,30,1.0,0.8864866068260312,0.9999999999999999
gpt4o-mini,2,30,30,1.0,0.8864866068260312,0.9999999999999999
gpt4o-mini,3,30,30,1.0,0.8864866068260312,0.9999999999999999
gpt4o-mini,4,30,30,1.0,0.8864866068260312,0.9999999999999999
gpt4o-mini,5,30,28,0.9333333333333333,0.7867654163738308,0.9815229762087295
gpt4o-mini,6,30,27,0.9,0.7437891742081593,0.9654001112526658
gpt4o-mini,7,30,24,0.8,0.6269430358685175,0.9049489282271013
gpt4o-mini,8,30,22,0.7333333333333333,0.555520383048111,0.8581733668040368
gpt4o-mini,9,30,17,0.5666666666666667,0.3919730700081361,0.7262251442353347
gpt4o-mini,10,30,18,0.6,0.42320360253322475,0.7540937188319815
gpt4o-mini,11,30,14,0.4666666666666667,0.30232388907699753,0.638577003801267
gpt4o-mini,12,30,14,0.4666666666666667,0.30232388907699753,0.638577003801267
