model_key,depth,error_type,count
gpt4o-mini,5,object_error,1
gpt4o-mini,5,other_error,1
gpt4o-mini,6,human_error,2
gpt4o-mini,6,object_error,1
gpt4o-mini,7,human_error,2
gpt4o-mini,7,object_error,4
gpt4o-mini,8,human_error,4
gpt4o-mini,8,object_error,4
gpt4o-mini,9,human_error,7
gpt4o-mini,9,object_error,6
gpt4o-mini,10,human_error,8
gpt4o-mini,10,object_error,4
gpt4o-mini,11,human_error,8
gpt4o-mini,11,object_error,8
gpt4o-mini,12,human_error,11
gpt4o-mini,12,object_error,5
haiku,2,human_error,1
haiku,2,object_error,9
haiku,3,object_error,23
haiku,4,human_error,9
haiku,4,object_error,19
haiku,5,human_error,15
haiku,5,object_error,9
haiku,6,human_error,19
haiku,6,object_error,5
haiku,7,human_error,18
haiku,7,object_error,7
haiku,8,human_error,21
haiku,8,object_error,4
haiku,9,human_error,19
haiku,9,object_error,7
haiku,9,other_error,1
haiku,10,human_error,23
haiku,10,object_error,3
haiku,11,human_error,13
haiku,11,object_error,11
haiku,12,human_error,11
haiku,12,object_error,2
sonnet,5,human_error,1
sonnet,8,object_error,1
sonnet,9,human_error,1
sonnet,12,human_error,2
