model,domain,domain_short,depth,n,n_correct,accuracy,ci_low,ci_high
haiku,B_possessive_chain,B,1,20,20,1.0,0.8388748419471806,1.0
haiku,B_possessive_chain,B,2,20,20,1.0,0.8388748419471806,1.0
haiku,B_possessive_chain,B,3,20,19,0.95,0.763868806553258,0.9911185511992047
haiku,B_possessive_chain,B,4,20,19,0.95,0.763868806553258,0.9911185511992047
haiku,B_possessive_chain,B,5,20,20,1.0,0.8388748419471806,1.0
haiku,B_possessive_chain,B,6,20,19,0.95,0.763868806553258,0.9911185511992047
haiku,A_relative_clause,A,1,20,20,1.0,0.8388748419471806,1.0
haiku,A_relative_clause,A,2,20,19,0.95,0.763868806553258,0.9911185511992047
haiku,A_relative_clause,A,3,20,17,0.85,0.6395811352592431,0.9476312541037835
haiku,A_relative_clause,A,4,20,5,0.25,0.11186170140766569,0.468700877618744
haiku,A_relative_clause,A,5,20,4,0.2,0.08065766257979806,0.41601743225189364
haiku,A_relative_clause,A,6,20,3,0.15,0.052368745896216595,0.36041886474075696
haiku,C_prepositional_chain,C,1,20,20,1.0,0.8388748419471806,1.0
haiku,C_prepositional_chain,C,2,20,20,1.0,0.8388748419471806,1.0
haiku,C_prepositional_chain,C,3,20,17,0.85,0.6395811352592431,0.9476312541037835
haiku,C_prepositional_chain,C,4,20,13,0.65,0.43285427668523624,0.818808175898918
haiku,C_prepositional_chain,C,5,20,11,0.55,0.34208534245034233,0.7418021417443759
haiku,C_prepositional_chain,C,6,20,10,0.5,0.2992980081982123,0.7007019918017877
sonnet,B_possessive_chain,B,1,20,20,1.0,0.8388748419471806,1.0
sonnet,B_possessive_chain,B,2,20,20,1.0,0.8388748419471806,1.0
sonnet,B_possessive_chain,B,3,20,20,1.0,0.8388748419471806,1.0
sonnet,B_possessive_chain,B,4,20,19,0.95,0.763868806553258,0.9911185511992047
sonnet,B_possessive_chain,B,5,20,20,1.0,0.8388748419471806,1.0
sonnet,B_possessive_chain,B,6,20,20,1.0,0.8388748419471806,1.0
sonnet,A_relative_clause,A,1,20,20,1.0,0.8388748419471806,1.0
sonnet,A_relative_clause,A,2,20,20,1.0,0.8388748419471806,1.0
sonnet,A_relative_clause,A,3,20,20,1.0,0.8388748419471806,1.0
sonnet,A_relative_clause,A,4,20,20,1.0,0.8388748419471806,1.0
sonnet,A_relative_clause,A,5,20,20,1.0,0.8388748419471806,1.0
sonnet,A_relative_clause,A,6,20,20,1.0,0.8388748419471806,1.0
sonnet,C_prepositional_chain,C,1,20,20,1.0,0.8388748419471806,1.0
sonnet,C_prepositional_chain,C,2,20,20,1.0,0.8388748419471806,1.0
sonnet,C_prepositional_chain,C,3,20,20,1.0,0.8388748419471806,1.0
sonnet,C_prepositional_chain,C,4,20,20,1.0,0.8388748419471806,1.0
sonnet,C_prepositional_chain,C,5,20,20,1.0,0.8388748419471806,1.0
sonnet,C_prepositional_chain,C,6,20,20,1.0,0.8388748419471806,1.0
gpt4o-mini,B_possessive_chain,B,1,20,20,1.0,0.8388748419471806,1.0
gpt4o-mini,B_possessive_chain,B,2,20,20,1.0,0.8388748419471806,1.0
gpt4o-mini,B_possessive_chain,B,3,20,20,1.0,0.8388748419471806,1.0
gpt4o-mini,B_possessive_chain,B,4,20,20,1.0,0.8388748419471806,1.0
gpt4o-mini,B_possessive_chain,B,5,20,20,1.0,0.8388748419471806,1.0
gpt4o-mini,B_possessive_chain,B,6,20,20,1.0,0.8388748419471806,1.0
gpt4o-mini,A_relative_clause,A,1,20,20,1.0,0.8388748419471806,1.0
gpt4o-mini,A_relative_clause,A,2,20,20,1.0,0.8388748419471806,1.0
gpt4o-mini,A_relative_clause,A,3,20,20,1.0,0.8388748419471806,1.0
gpt4o-mini,A_relative_clause,A,4,20,20,1.0,0.8388748419471806,1.0
gpt4o-mini,A_relative_clause,A,5,20,20,1.0,0.8388748419471806,1.0
gpt4o-mini,A_relative_clause,A,6,20,18,0.9,0.6989663547715128,0.9721335187862319
gpt4o-mini,C_prepositional_chain,C,1,20,20,1.0,0.8388748419471806,1.0
gpt4o-mini,C_prepositional_chain,C,2,20,20,1.0,0.8388748419471806,1.0
gpt4o-mini,C_prepositional_chain,C,3,20,20,1.0,0.8388748419471806,1.0
gpt4o-mini,C_prepositional_chain,C,4,20,20,1.0,0.8388748419471806,1.0
gpt4o-mini,C_prepositional_chain,C,5,20,20,1.0,0.8388748419471806,1.0
gpt4o-mini,C_prepositional_chain,C,6,20,20,1.0,0.8388748419471806,1.0
